preds0	preds1	preds2	preds3	preds4		Year0		ID	1	2	3	4	5	6	7	8	9	10
0.415170237	-0.249799363	0.198936143	-0.2082011724	-0.0637958632		2009		beckhgo01	0.7	-1.2	-0.2	0	0	0	0	0	0	0
0.427442599	-0.1098691836	-0.0351724707	-0.2392513994	-0.0654463687		1998		spencsh01	0.4	0	0	0	0	0	0	0	0	0
0.9750275856	0.5127826942	0.3285146016	0.1096688481	-0.0608523811		2004		raburry01	1.9	0.1	-1.9	2.1	-1.5	1.1	-0.6	0.1	0	0
0.2449613683	-0.0020483897	0.6167697818	0.039861319	-0.0610287389		1976		wathajo01	2.1	-0.2	-0.9	0.7	0	0	0	0	0	0
0.4566871195	0.466311546	0.6814757503	0.4046227947	-0.0419876291		1982		barrema02	0.7	0.4	-0.2	-0.1	0	0	0	0	0	0
-0.3869477718	-0.6063926364	-0.0011172737	-0.0895643571	-0.0622422073		1978		perkibr01	-0.5	0	0	0	0	0	0	0	0	0
2.2972685963	1.6397994444	1.2043130736	0.3605087125	0.5195317037		1995		lawtoma02	2.5	1.3	1.2	1.3	-0.1	-0.2	0	0	0	0
6.3365982975	6.5003964698	7.5751754495	6.1298646398	5.3586119628		1991		thomeji01	5.5	3.3	4.5	4.7	5.6	7.4	4.7	3.2	0.2	4.9
0.8110264235	0.5056123983	0.6058959321	-0.054015025	-0.0632652695		1992		willige02	2.4	1.7	0.6	-0.3	-0.5	-0.2	0	-0.3	0	0
3.3932527994	5.0809381891	3.7743380271	3.0447197663	2.9242634551		1989		gonzaju03	1.7	3.8	2.7	4.9	3.9	1.9	4.4	0.4	1.4	0.5
1.7298663352	1.1617946945	1.7709810395	1.2647639688	0.9380556119		1981		maldoca01	2.9	-0.3	0.8	3.4	1.4	2.5	-1.6	0	0.1	0
0.3518501781	-0.2731201287	-0.0669777972	-0.1054088701	-0.0601186694		1971		masonji01	-0.3	-0.2	-0.4	0	0	0	0	0	0	0
5.5341662988	4.6660259374	5.741343677	4.9834232111	5.0205303813		1976		dawsoan01	7.9	6.8	2.9	2.1	2.3	4	4.8	2	2.2	2.9
-0.1559060895	1.4696685158	-0.1527509571	-0.0415140944	-0.0600021507		1985		bulloer01	-0.2	-0.1	0	0	0	0	0	0	0	0
1.2740719396	1.0723460149	0.2241736347	0.2702476258	0.1830665054		2000		lugoju01	1	0.7	0.1	-0.4	-0.8	-0.1	0	0	0	0
-0.0158531267	-0.2582305295	-0.1871240335	-0.1571722878	-0.0637205575		1974		mendoma01	-0.6	1	-0.7	0	0	0	0	0	0	0
-0.1856940462	-0.3782133476	-0.109769012	0.0898275993	0.0430268883		2008		brignre01	-0.6	-0.2	-0.1	0	0	0	0	0	0	0
1.9023558326	2.3823944569	2.0917752425	1.5590229408	1.3247237		1972		lacyle01	1.8	0.3	4	1.4	1.1	2.2	3.1	1.6	1.4	0.1
0.2998003437	0.8737521168	0.5160640454	-0.1137795633	-0.0598302554		1998		daubabr01	0.1	-0.1	0	0	0	0	0	0	0	0
3.9411939199	3.6580274198	3.1498447273	1.3812345518	1.9713181006		1972		lopesda01	4.9	4.7	1	0.7	1.3	2.8	1.4	1.8	2.6	0.2
2.66918154	1.2022094883	2.1289563788	1.8510819206	0.7716142874		1981		saxst01	0.8	2.1	4.4	1.4	4.1	0.1	-0.3	0	0	0
-0.2686378198	-0.4173925635	-0.2512098617	-0.2109506385	-0.0612828581		1999		allench01	-0.3	0	0	0	0	0	0	0	0	0
3.1991855734	3.0576080629	3.1777500483	2.1323867034	1.9273416719		2002		martivi01	0.6	3.5	3.6	3.2	0	1.4	5.5	-1.6	1.6	-0.6
0.2351679915	0.2831113757	0.0560332937	0.0983824864	-0.0604904029		1990		hernaca01	0	0.9	0.4	0	0.1	0	0	0	0	0
2.9919976361	2.8344686028	1.4158780835	1.2317071758	0.9480034441		1989		grissma02	1.2	4.4	1.9	0.9	0.1	-0.8	-1	2.2	2.4	0.6
3.9792623874	3.3936855214	4.5234609887	4.3153680333	4.0935170266		1982		phillto02	-0.3	2.5	4.7	5.2	5	5.6	4.7	4.3	3.2	1.9
2.6746040907	1.7921556449	1.7369442108	1.253640371	1.2479858041		1983		schofdi02	2.5	2.5	0.8	2.3	0.4	0	0.2	0.2	0	0
0.6945972576	0.8416405279	0.6721727213	0.4886348719	0.4213730143		1992		curtich01	2.4	0.8	0.3	0.3	0	0	0	0	0	0
-0.0057183274	0.1571231375	-0.2549964473	0.4501339951	-0.0595999394		1978		stegmda01	0.3	0	0	0	0	0	0	0	0	0
2.8460044104	1.8639972557	0.6710323856	0.8515730525	0.8954343521		1995		higgibo02	3.4	1.5	0.3	2.2	-0.4	0	0	0	0	0
0.1807810931	-0.3337010547	-0.0714943158	-0.242626349	-0.0620177924		1992		ashlebi01	0.2	0	0	0	0	0	0	0	0	0
