player_id,active_years,extra_stints,g,ab,r,h,double,triple,hr,rbi,sb,cs,bb,so,ibb,hbp,sh,sf,g_idp,ob,pa,tb,war,ab_per_g,r_per_ab,batting_avg,double_per_ab,triple_per_ab,hr_per_ab,rbi_per_ab,sb_per_ob,cs_per_ob,sb_ratio,bb_per_pa,so_per_ab,slg,obp,rc,rc_per_ab,babip,iso,pa_per_so
bandoch01,6,0,375,999.0,108.0,236.0,36.0,2.0,21.0,117.0,1.0,5.0,118.0,156.0,6.0,1.0,18.0,14.0,34.0,361.0,1156.0,339.0,1.6,2.66400000,0.10810811,0.23623624,0.03603604,0.00200200,0.02102102,0.11711712,0.00277008,0.01385042,0.16666667,0.10207612,0.15615616,0.33933934,0.31360424,107.43598926,0.09618262,0.25717703,0.10310310,7.16025641
peterri01,4,0,263,881.0,128.0,248.0,33.0,10.0,2.0,79.0,18.0,22.0,100.0,100.0,4.0,9.0,15.0,8.0,27.0,361.0,1017.0,307.0,3.3,3.34980989,0.14528944,0.28149830,0.03745743,0.01135074,0.00227015,0.08967083,0.04986150,0.06094183,0.45000000,0.09832842,0.11350738,0.34846765,0.35771543,108.90519878,0.11101447,0.31257942,0.06696935,9.81000000
rayfofl01,5,0,289,784.0,92.0,207.0,39.0,1.0,28.0,95.0,4.0,5.0,38.0,166.0,1.0,3.0,6.0,4.0,19.0,249.0,836.0,332.0,1.1,2.71280277,0.11734694,0.26403061,0.04974490,0.00127551,0.03571429,0.12117347,0.01606426,0.02008032,0.44444444,0.04545455,0.21173469,0.42346939,0.29915561,98.95377129,0.12038172,0.30134680,0.15943878,4.95180723
buckjo01,6,0,584,1913.0,218.0,450.0,104.0,7.0,70.0,259.0,4.0,10.0,151.0,500.0,6.0,27.0,10.0,15.0,47.0,634.0,2122.0,778.0,5.1,3.27568493,0.11395714,0.23523262,0.05436487,0.00365917,0.03659174,0.13538944,0.00630915,0.01577287,0.28571429,0.07115928,0.26136958,0.40669106,0.29819563,226.53972868,0.10975762,0.27982327,0.17145844,4.12800000
huntebr02,6,1,659,2663.0,386.0,701.0,113.0,23.0,19.0,178.0,221.0,55.0,178.0,456.0,1.0,9.0,18.0,23.0,37.0,889.0,2892.0,917.0,7.3,4.04097117,0.14494931,0.26323695,0.04243335,0.00863688,0.00713481,0.06684191,0.24859393,0.06186727,0.80072464,0.06154910,0.17123545,0.34434848,0.30908458,283.71805702,0.09986556,0.30845771,0.08111153,6.23026316
caseyse01,6,0,651,2344.0,342.0,708.0,161.0,6.0,71.0,368.0,7.0,5.0,243.0,325.0,34.0,34.0,0.0,20.0,69.0,1019.0,2675.0,1094.0,16.4,3.60061444,0.14590444,0.30204778,0.06868601,0.00255973,0.03029010,0.15699659,0.00686948,0.00490677,0.58333333,0.09084112,0.13865188,0.46672355,0.37296479,402.16235021,0.15545510,0.32367886,0.16467577,7.96000000
baergca01,6,0,819,3185.0,491.0,971.0,165.0,15.0,93.0,505.0,47.0,14.0,178.0,351.0,31.0,38.0,13.0,43.0,73.0,1218.0,3488.0,1445.0,19.4,3.88888889,0.15416013,0.30486656,0.05180534,0.00470958,0.02919937,0.15855573,0.03858785,0.01149425,0.77049180,0.05103211,0.11020408,0.45368917,0.34465738,493.69759144,0.14680273,0.31537356,0.14882261,9.58119658
bakopa01,6,2,468,1300.0,119.0,315.0,67.0,8.0,13.0,119.0,3.0,5.0,138.0,330.0,25.0,2.0,9.0,9.0,22.0,480.0,1483.0,437.0,-1.2,2.77777778,0.09153846,0.24230769,0.05153846,0.00615385,0.01000000,0.09153846,0.00625000,0.01041667,0.37500000,0.09305462,0.25384615,0.33615385,0.31400966,137.66411683,0.09573304,0.31262940,0.09384615,4.35757576
whitefr01,6,0,708,2028.0,246.0,497.0,84.0,23.0,22.0,205.0,73.0,34.0,103.0,263.0,1.0,9.0,47.0,11.0,19.0,610.0,2199.0,693.0,35.0,2.86440678,0.12130178,0.24506903,0.04142012,0.01134122,0.01084813,0.10108481,0.11967213,0.05573770,0.68224299,0.04683947,0.12968442,0.34171598,0.28312413,195.11966213,0.09156249,0.27080958,0.09664694,8.10266160
lynnfr01,6,0,718,2647.0,456.0,819.0,185.0,26.0,112.0,460.0,31.0,25.0,324.0,355.0,31.0,13.0,15.0,36.0,52.0,1187.0,3066.0,1392.0,50.0,3.68662953,0.17227049,0.30940688,0.06989044,0.00982244,0.04231205,0.17378164,0.02611626,0.02106150,0.55357143,0.10567515,0.13411409,0.52587835,0.38278146,535.52877819,0.18025203,0.31904332,0.21647148,8.36901408
