player_id,active_years,extra_stints,g,w,l,gs,cg,sho,sv,ipouts,h,er,hr,bb,so,ibb,wp,hbp,bfp,gf,r,tbf,war,era,baopp,tbf_per_g,starter_ratio,w_per_g,l_per_g,p_win,gf_per_g,cg_per_g,sho_per_g,sv_per_g,ipouts_per_g,bb_per_bfp,hbp_per_bfp,hr_per_tbf,so_per_tbf,wp_per_bfp,so_per_bb
croweji01,1,0,2,0,1,1,0,0,0,19.0,12,7,2,5,3,0.0,0.0,0.0,36.0,1.0,7,31.0,-0.6,9.94736842,0.38709677,15.50000000,0.50000000,0.00000000,0.50000000,0.00000000,0.50000000,0.00000000,0.00000000,0.00000000,9.50000000,0.13888889,0.00000000,0.06451613,0.09677419,0.00000000,0.60000000
vealdo01,4,0,100,3,3,0,0,0,1,194.0,55,35,5,47,70,2.0,7.0,3.0,294.0,23.0,36,242.0,-0.1,4.87113402,0.22727273,2.42000000,0.00000000,0.03000000,0.03000000,0.50000000,0.23000000,0.00000000,0.00000000,0.01000000,1.94000000,0.15986395,0.01020408,0.02066116,0.28925620,0.02380952,1.48936170
jacksro03,6,0,127,11,19,16,1,0,14,848.0,277,117,21,102,185,16.0,13.0,9.0,1197.0,49.0,130,1086.0,5.5,3.72523585,0.25506446,8.55118110,0.12598425,0.08661417,0.14960630,0.36666667,0.38582677,0.00787402,0.00000000,0.11023622,6.67716535,0.08521303,0.00751880,0.01933702,0.17034991,0.01086048,1.81372549
danksjo01,6,0,159,57,60,159,4,2,0,2914.0,954,445,115,323,744,13.0,24.0,25.0,4109.0,0.0,472,3715.0,21.1,4.12319835,0.25679677,23.36477987,1.00000000,0.35849057,0.37735849,0.48717949,0.00000000,0.02515723,0.01257862,0.00000000,18.32704403,0.07860793,0.00608421,0.03095559,0.20026918,0.00584084,2.30340557
chrisla01,6,0,148,58,39,132,22,6,3,2535.0,859,356,62,238,420,18.0,22.0,11.0,3552.0,9.0,389,3303.0,9.0,3.79171598,0.26006661,22.31756757,0.89189189,0.39189189,0.26351351,0.59793814,0.06081081,0.14864865,0.04054054,0.02027027,17.12837838,0.06700450,0.00309685,0.01877081,0.12715713,0.00619369,1.76470588
guzmaju01,6,0,160,67,44,160,13,2,0,3032.0,918,446,82,450,865,14.0,78.0,21.0,4316.0,0.0,487,3845.0,24.6,3.97163588,0.23875163,24.03125000,1.00000000,0.41875000,0.27500000,0.60360360,0.00000000,0.08125000,0.01250000,0.00000000,18.95000000,0.10426321,0.00486562,0.02132640,0.22496749,0.01807229,1.92222222
saarlki01,6,0,157,28,30,72,3,2,2,1448.0,555,268,58,182,239,20.0,6.0,28.0,2133.0,26.0,284,1895.0,1.3,4.99723757,0.29287599,12.07006369,0.45859873,0.17834395,0.19108280,0.48275862,0.16560510,0.01910828,0.01273885,0.01273885,9.22292994,0.08532583,0.01312705,0.03060686,0.12612137,0.00281294,1.31318681
burrira01,6,0,223,55,58,148,27,8,2,3140.0,1146,492,101,342,516,44.0,36.0,26.0,4539.0,30.0,550,4171.0,15.2,4.23057325,0.27475426,18.70403587,0.66367713,0.24663677,0.26008969,0.48672566,0.13452915,0.12107623,0.03587444,0.00896861,14.08071749,0.07534699,0.00572813,0.02421482,0.12371134,0.00793126,1.50877193
saundjo01,6,1,128,57,39,128,5,2,0,2324.0,831,369,95,248,442,7.0,20.0,19.0,3308.0,0.0,410,3002.0,8.8,4.28700516,0.27681546,23.45312500,1.00000000,0.44531250,0.30468750,0.59375000,0.00000000,0.03906250,0.01562500,0.00000000,18.15625000,0.07496977,0.00574365,0.03164557,0.14723518,0.00604595,1.78225806
berenbr01,6,1,128,42,53,124,13,5,0,2226.0,683,322,27,403,577,12.0,48.0,6.0,3225.0,2.0,362,2816.0,5.4,3.90566038,0.24254261,22.00000000,0.96875000,0.32812500,0.41406250,0.44210526,0.01562500,0.10156250,0.03906250,0.00000000,17.39062500,0.12496124,0.00186047,0.00958807,0.20490057,0.01488372,1.43176179
